Acronyme,Nomdelorganisation,Typedorganisation,adm1code,adm2code,date,Secteur
KOCLAT,KONBIT POU CHANJE LAVI TIMOUN YO,,HT01,HT0115,30jul2021,
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D'HAÏTI,,HT07,HT0722,30jul2021,
CACH,CARITAS SUISSE,,HT02,HT0211,30jul2021,
KOCLAT,KONBIT POU CHANJE LAVI TIMOUN YO,,HT08,HT0811,30jul2021,
BM,BANQUE MONDIALE,,HT10,HT1014,30jul2021,
ADRA,ADVENTIST DEVELOPMENT AND RELIEF AGENCY,,HT06,HT0621,30jul2021,
ORAC-HAITI,ORGANISATION D'ACTION CITOYENNE,,HT05,HT0542,30jul2021,
HHF,HAITIAN HEALTH FOUNDATION,,HT07,HT0711,30jul2021,
FONKOZE,FONDASYON KOLE ZEPOL,,HT02,HT0212,30jul2021,
HELVETAS,HELVETAS SWISS INTERCOOPERATION,,HT02,HT0213,30jul2021,
CPD,COMBITE POUR LA PAIX ET LE DÉVELOPPEMENT,,HT01,HT0112,30jul2021,
ADRA,ADVENTIST DEVELOPMENT AND RELIEF AGENCY,,HT07,HT0713,30jul2021,
ADRA,ADVENTIST DEVELOPMENT AND RELIEF AGENCY,,HT01,HT0115,30jul2021,
BM,BANQUE MONDIALE,,HT10,HT1024,30jul2021,
ADRA,ADVENTIST DEVELOPMENT AND RELIEF AGENCY,,HT06,HT0632,30jul2021,
CAID,CHRISTIAN-AID,,HT04,HT0411,30jul2021,
BM,BANQUE MONDIALE,,HT10,HT1032,30jul2021,
OJNRHA,ORGANISATION DES JEUNES POUR UNE NOUVELLE RÉFLEXION À L'HAITIENNE,,HT01,HT0121,30jul2021,
BM,BANQUE MONDIALE,,HT06,HT0611,30jul2021,
CEHPAPE,CENTRE HAITIEN POUR LA PROMOTION DE L'AGRICULTURE ET LA PROTECTION DE L'ENVIRONNEMENT,,HT06,HT0632,30jul2021,
AVSI,ASSOCIATION DES VOLONTAIRES POUR LE SERVICE INTERNATIONAL,,HT09,HT0933,30jul2021,
DEFENSEURS PLUS,DEFENSEURS PLUS,,HT06,HT0633,30jul2021,
ADRA,ADVENTIST DEVELOPMENT AND RELIEF AGENCY,,HT07,HT0715,30jul2021,
CECI,CENTRE D'ETUDE ET DE COOPERATION INTERNATIONALE,,HT07,HT0712,30jul2021,
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D'HAÏTI,,HT07,HT0723,30jul2021,
COMPASSION,COMPASSION INTERNATIONAL,,HT07,HT0714,30jul2021,
ADRA,ADVENTIST DEVELOPMENT AND RELIEF AGENCY,,HT07,HT0741,30jul2021,
ADRA,ADVENTIST DEVELOPMENT AND RELIEF AGENCY,,HT01,HT0114,30jul2021,
BM,BANQUE MONDIALE,,HT08,HT0821,30jul2021,
ACTED,AGENCE D'AIDE À LA COOPÉRATION TECHNIQUE ET AU DÉVELOPPEMENT,,HT02,HT0233,30jul2021,
COMPASSION,COMPASSION INTERNATIONAL,,HT06,HT0622,30jul2021,
BM,BANQUE MONDIALE,,HT10,HT1023,30jul2021,
PHAREV,PLATEFORME HAITIENNE POUR LE RENFORCEMENT DE LA VACCINATION,,HT05,HT0531,30jul2021,
HELVETAS,HELVETAS SWISS INTERCOOPERATION,,HT02,HT0232,30jul2021,
DEFENSEURS PLUS,DEFENSEURS PLUS,,HT06,HT0621,30jul2021,
ACF,ACTION CONTRE LA FAIM,,HT01,HT0113,30jul2021,
FNUAP,FONDS DE LA POPULATION DES NATIONS UNIES,,HT07,HT0752,30jul2021,
CECI,CENTRE D'ETUDE ET DE COOPERATION INTERNATIONALE,,HT03,HT0371,30jul2021,
FNUAP,FONDS DE LA POPULATION DES NATIONS UNIES,,HT01,HT0113,30jul2021,
FNUAP,FONDS DE LA POPULATION DES NATIONS UNIES,,HT09,HT0921,30jul2021,
ADRA,ADVENTIST DEVELOPMENT AND RELIEF AGENCY,,HT07,HT0711,30jul2021,
CAID,CHRISTIAN-AID,,HT06,HT0632,30jul2021,
OJNRHA,ORGANISATION DES JEUNES POUR UNE NOUVELLE RÉFLEXION À L'HAITIENNE,,HT02,HT0231,30jul2021,
KOCLAT,KONBIT POU CHANJE LAVI TIMOUN YO,,HT08,HT0832,30jul2021,
BM,BANQUE MONDIALE,,HT04,HT0432,30jul2021,
CEHPAPE,CENTRE HAITIEN POUR LA PROMOTION DE L'AGRICULTURE ET LA PROTECTION DE L'ENVIRONNEMENT,,HT01,HT0122,30jul2021,
IDETTE,INITIATIVE DEPARTEMENTALE CONTRE LA TRAITE ET LE TRAFIC DES ENFANTS,,HT08,HT0813,30jul2021,
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D'HAÏTI,,HT10,HT1012,30jul2021,
BM,BANQUE MONDIALE,,HT04,HT0434,30jul2021,
MC,MERCY CORPS,,HT03,HT0311,30jul2021,
HELVETAS,HELVETAS SWISS INTERCOOPERATION,,HT07,HT0751,30jul2021,
COMPASSION,COMPASSION INTERNATIONAL,,HT01,HT0142,30jul2021,
CAID,CHRISTIAN-AID,,HT03,HT0323,30jul2021,
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D'HAÏTI,,HT02,HT0222,30jul2021,
UNOPS,BUREAU DES NATIONS UNIES POUR LES SERVICES D'APPUI AUX PROJETS,,HT08,HT0811,30jul2021,
CISV - PMM,CISV - PROGETTOMONDO MLAL,,HT05,HT0511,30jul2021,
AVSI,ASSOCIATION DES VOLONTAIRES POUR LE SERVICE INTERNATIONAL,,HT05,HT0552,30jul2021,
CAPAC,CENTRE D’ANIMATION PAYSANNE ET D’ACTION COMMUNAUTAIRE,,HT03,HT0331,30jul2021,
BM,BANQUE MONDIALE,,HT10,HT1012,30jul2021,
OJNRHA,ORGANISATION DES JEUNES POUR UNE NOUVELLE RÉFLEXION À L'HAITIENNE,,HT08,HT0834,30jul2021,
CIT,CARITAS,,HT01,HT0111,30jul2021,
FAIRE GARDEN FOUNDATION,FONDATION JARDIN DE FOI D’ASSURANCE D’AS L’INSPIRATION DES RÊVES ET D’EXPLOIT,,HT09,HT0933,30jul2021,
COMPASSION,COMPASSION INTERNATIONAL,,HT09,HT0933,30jul2021,
BM,BANQUE MONDIALE,,HT04,HT0443,30jul2021,
COMPASSION,COMPASSION INTERNATIONAL,,HT05,HT0542,30jul2021,
AVSI,ASSOCIATION DES VOLONTAIRES POUR LE SERVICE INTERNATIONAL,,HT05,HT0551,30jul2021,
COMPASSION,COMPASSION INTERNATIONAL,,HT02,HT0232,30jul2021,
FONKOZE,FONDASYON KOLE ZEPOL,,HT02,HT0211,30jul2021,
BM,BANQUE MONDIALE,,HT08,HT0832,30jul2021,
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D'HAÏTI,,HT10,HT1011,30jul2021,
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D'HAÏTI,,HT01,HT0133,30jul2021,
ADRA,ADVENTIST DEVELOPMENT AND RELIEF AGENCY,,HT05,HT0521,30jul2021,
ACF,ACTION CONTRE LA FAIM,,HT09,HT0921,30jul2021,
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D'HAÏTI,,HT05,HT0521,30jul2021,
AVSI,ASSOCIATION DES VOLONTAIRES POUR LE SERVICE INTERNATIONAL,,HT01,HT0113,30jul2021,
DSI,DEEP SPRINGS INTERNATIONAL,,HT01,HT0121,30jul2021,
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D'HAÏTI,,HT01,HT0113,30jul2021,
COMPASSION,COMPASSION INTERNATIONAL,,HT07,HT0733,30jul2021,
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D'HAÏTI,,HT05,HT0552,30jul2021,
ACTED,AGENCE D'AIDE À LA COOPÉRATION TECHNIQUE ET AU DÉVELOPPEMENT,,HT01,HT0111,30jul2021,
FONKOZE,FONDASYON KOLE ZEPOL,,HT01,HT0142,30jul2021,
ADRA,ADVENTIST DEVELOPMENT AND RELIEF AGENCY,,HT05,HT0542,30jul2021,
IBESR,INSTITUT DU BIEN-ÊTRE SOCIAL ET DE RECHERCHE,,HT06,HT0632,30jul2021,
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D'HAÏTI,,HT09,HT0932,30jul2021,
ADRA,ADVENTIST DEVELOPMENT AND RELIEF AGENCY,,HT07,HT0733,30jul2021,
ACF,ACTION CONTRE LA FAIM,,HT01,HT0112,30jul2021,
410BRHA,410 BRIDGE HAITI,,HT05,HT0531,30jul2021,
SCH,SERVICE CHRETIEN D'HAITI,,HT01,HT0114,30jul2021,
UNOPS,BUREAU DES NATIONS UNIES POUR LES SERVICES D'APPUI AUX PROJETS,,HT03,HT0311,30jul2021,
COMPASSION,COMPASSION INTERNATIONAL,,HT10,HT1013,30jul2021,
AFM,ASSOCIATION DES FEMMES DE MADELINE,,HT03,HT0311,30jul2021,
CRS,CATHOLIC RELIEF SERVICES USCCB,,HT01,HT0112,30jul2021,
ATD QM,ATD QUART MONDE,,HT09,HT0934,30jul2021,
FONKOZE,FONDASYON KOLE ZEPOL,,HT07,HT0741,30jul2021,
410BRHA,410 BRIDGE HAITI,,HT07,HT0742,30jul2021,
HEKS/EPER,ENTRAIDE PROTESTANTE SUISSE,,HT08,HT0823,30jul2021,
PHAREV,PLATEFORME HAITIENNE POUR LE RENFORCEMENT DE LA VACCINATION,,HT10,HT1011,30jul2021,
BM,BANQUE MONDIALE,,HT08,HT0814,30jul2021,
OJNRHA,ORGANISATION DES JEUNES POUR UNE NOUVELLE RÉFLEXION À L'HAITIENNE,,HT08,HT0811,30jul2021,
SOJER,SOLIDARITÉ POUR UNE JEUNESSE RÉSILIENTE,,HT03,HT0311,30jul2021,
BM,BANQUE MONDIALE,,HT06,HT0613,30jul2021,
BM,BANQUE MONDIALE,,HT01,HT0117,30jul2021,
CAID,CHRISTIAN-AID,,HT01,HT0111,30jul2021,
FNUAP,FONDS DE LA POPULATION DES NATIONS UNIES,,HT07,HT0722,30jul2021,
CECI,CENTRE D'ETUDE ET DE COOPERATION INTERNATIONALE,,HT03,HT0344,30jul2021,
ACESS,ACTION POUR L'EDUCATION SOCIALE ET LA SANTÉ,,HT01,HT0112,30jul2021,
FNUAP,FONDS DE LA POPULATION DES NATIONS UNIES,,HT01,HT0111,30jul2021,
COMPASSION,COMPASSION INTERNATIONAL,,HT01,HT0133,30jul2021,
BM,BANQUE MONDIALE,,HT03,HT0371,30jul2021,
TECHO,UN TOIT POUR MON PAYS,,HT01,HT0142,30jul2021,
COMPASSION,COMPASSION INTERNATIONAL,,HT03,HT0331,30jul2021,
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D'HAÏTI,,HT03,HT0311,30jul2021,
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D'HAÏTI,,HT01,HT0132,30jul2021,
FONKOZE,FONDASYON KOLE ZEPOL,,HT03,HT0361,30jul2021,
FNUAP,FONDS DE LA POPULATION DES NATIONS UNIES,,HT01,HT0142,30jul2021,
CECI,CENTRE D'ETUDE ET DE COOPERATION INTERNATIONALE,,HT03,HT0313,30jul2021,
PNUD,PROGRAMME DE DÉVELOPPEMENT DES NATIONS UNIES,,HT01,HT0114,30jul2021,
FAO,ORGANISATION DES NATIONS UNIES POUR L'ALIMENTATION ET L'AGRICULTURE,,HT04,HT0411,30jul2021,
FH,FOOD FOR THE HUNGRY,,HT06,HT0632,30jul2021,
COMPASSION,COMPASSION INTERNATIONAL,,HT05,HT0551,30jul2021,
CAID,CHRISTIAN-AID,,HT05,HT0532,30jul2021,
COMPASSION,COMPASSION INTERNATIONAL,,HT07,HT0716,30jul2021,
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D'HAÏTI,,HT01,HT0114,30jul2021,
CDS,CENTRES POUR LE DEVELOPPEMENT ET LA SANTE,,HT08,HT0811,30jul2021,
ACF,ACTION CONTRE LA FAIM,,HT09,HT0934,30jul2021,
FONKOZE,FONDASYON KOLE ZEPOL,,HT04,HT0411,30jul2021,
HELVETAS,HELVETAS SWISS INTERCOOPERATION,,HT08,HT0833,30jul2021,
FTB,FONDATION TERRE BLEUE,,HT01,HT0112,30jul2021,
SI,SOLIDARITÉS INTERNATIONAL,,HT01,HT0111,30jul2021,
COMPASSION,COMPASSION INTERNATIONAL,,HT07,HT0711,30jul2021,
BM,BANQUE MONDIALE,,HT01,HT0121,30jul2021,
CAID,CHRISTIAN-AID,,HT05,HT0513,30jul2021,
IDETTE,INITIATIVE DEPARTEMENTALE CONTRE LA TRAITE ET LE TRAFIC DES ENFANTS,,HT08,HT0823,30jul2021,
DEFENSEURS PLUS,DEFENSEURS PLUS,,HT07,HT0721,30jul2021,
FONKOZE,FONDASYON KOLE ZEPOL,,HT05,HT0551,30jul2021,
IBESR,INSTITUT DU BIEN-ÊTRE SOCIAL ET DE RECHERCHE,,HT05,HT0531,30jul2021,
ACF,ACTION CONTRE LA FAIM,,HT01,HT0131,30jul2021,
COMPASSION,COMPASSION INTERNATIONAL,,HT09,HT0912,30jul2021,
COMPASSION,COMPASSION INTERNATIONAL,,HT06,HT0632,30jul2021,
FONKOZE,FONDASYON KOLE ZEPOL,,HT09,HT0911,30jul2021,
KOCLAT,KONBIT POU CHANJE LAVI TIMOUN YO,,HT01,HT0111,30jul2021,
FONKOZE,FONDASYON KOLE ZEPOL,,HT01,HT0135,30jul2021,
WHH,WELTHUNGERHILFE,,HT02,HT0233,30jul2021,
FAIRE GARDEN FOUNDATION,FONDATION JARDIN DE FOI D’ASSURANCE D’AS L’INSPIRATION DES RÊVES ET D’EXPLOIT,,HT01,HT0131,30jul2021,
GRET,PROFESSIONNELS DU DÉVÉLOPPEMENT SOLIDAIRE,,HT01,HT0112,30jul2021,
DEFENSEURS PLUS,DEFENSEURS PLUS,,HT06,HT0631,30jul2021,
MDM ARG,MEDICOS DEL MUNDO ARGENTINA,,HT06,HT0633,30jul2021,
FAO,ORGANISATION DES NATIONS UNIES POUR L'ALIMENTATION ET L'AGRICULTURE,,HT01,HT0114,30jul2021,
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D'HAÏTI,,HT01,HT0116,30jul2021,
ADRA,ADVENTIST DEVELOPMENT AND RELIEF AGENCY,,HT01,HT0111,30jul2021,
410BRHA,410 BRIDGE HAITI,,HT07,HT0722,30jul2021,
IDETTE,INITIATIVE DEPARTEMENTALE CONTRE LA TRAITE ET LE TRAFIC DES ENFANTS,,HT08,HT0821,30jul2021,
DEFENSEURS PLUS,DEFENSEURS PLUS,,HT01,HT0131,30jul2021,
APADEH,ACTION PASTORALE POUR LE DEVELOPPEMENT HUMAIN,,HT06,HT0632,30jul2021,
CIT,CARITAS,,HT01,HT0112,30jul2021,
BM,BANQUE MONDIALE,,HT03,HT0313,30jul2021,
ADRA,ADVENTIST DEVELOPMENT AND RELIEF AGENCY,,HT03,HT0371,30jul2021,
BM,BANQUE MONDIALE,,HT05,HT0543,30jul2021,
UNOPS,BUREAU DES NATIONS UNIES POUR LES SERVICES D'APPUI AUX PROJETS,,HT06,HT0612,30jul2021,
COMPASSION,COMPASSION INTERNATIONAL,,HT09,HT0934,30jul2021,
CIT,CARITAS,,HT05,HT0521,30jul2021,
GRET,PROFESSIONNELS DU DÉVÉLOPPEMENT SOLIDAIRE,,HT02,HT0211,30jul2021,
ICINOD,INITIATIVE CITOYENNE DU NORD-OUEST POUR LA DÉMOCRATIE ET LE DÉVELOPPEMENT,,HT09,HT0911,30jul2021,
AVSI,ASSOCIATION DES VOLONTAIRES POUR LE SERVICE INTERNATIONAL,,HT03,HT0311,30jul2021,
FONKOZE,FONDASYON KOLE ZEPOL,,HT02,HT0214,30jul2021,
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D'HAÏTI,,HT02,HT0212,30jul2021,
FNUAP,FONDS DE LA POPULATION DES NATIONS UNIES,,HT01,HT0117,30jul2021,
FONKOZE,FONDASYON KOLE ZEPOL,,HT07,HT0711,30jul2021,
CAPAC,CENTRE D’ANIMATION PAYSANNE ET D’ACTION COMMUNAUTAIRE,,HT05,HT0531,30jul2021,
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D'HAÏTI,,HT09,HT0912,30jul2021,
ADRA,ADVENTIST DEVELOPMENT AND RELIEF AGENCY,,HT07,HT0753,30jul2021,
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D'HAÏTI,,HT08,HT0813,30jul2021,
BM,BANQUE MONDIALE,,HT05,HT0513,30jul2021,
BM,BANQUE MONDIALE,,HT06,HT0621,30jul2021,
CIT,CARITAS,,HT06,HT0631,30jul2021,
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D'HAÏTI,,HT10,HT1022,30jul2021,
FNUAP,FONDS DE LA POPULATION DES NATIONS UNIES,,HT07,HT0715,30jul2021,
CAID,CHRISTIAN-AID,,HT02,HT0234,30jul2021,
CAID,CHRISTIAN-AID,,HT06,HT0641,30jul2021,
TECHO,UN TOIT POUR MON PAYS,,HT01,HT0141,30jul2021,
TOYA,FONDATION TOYA,,HT01,HT0111,30jul2021,
ALIANZA,ALIANZA POR LA SOLIDARIDAD,,HT07,HT0711,30jul2021,
BM,BANQUE MONDIALE,,HT05,HT0512,30jul2021,
MFH,MEDICINES FOR HUMANITY,,HT09,HT0921,30jul2021,
IDETTE,INITIATIVE DEPARTEMENTALE CONTRE LA TRAITE ET LE TRAFIC DES ENFANTS,,HT08,HT0832,30jul2021,
PROFAMIL,ASSOCIATION POUR LA PROMOTION DE LA FAMILLE HAÏTIENNE,,HT01,HT0131,30jul2021,
COMPASSION,COMPASSION INTERNATIONAL,,HT06,HT0623,30jul2021,
CAID,CHRISTIAN-AID,,HT01,HT0115,30jul2021,
ADRA,ADVENTIST DEVELOPMENT AND RELIEF AGENCY,,HT01,HT0112,30jul2021,
BM,BANQUE MONDIALE,,HT08,HT0813,30jul2021,
COMPASSION,COMPASSION INTERNATIONAL,,HT07,HT0722,30jul2021,
BM,BANQUE MONDIALE,,HT08,HT0831,30jul2021,
BM,BANQUE MONDIALE,,HT04,HT0411,30jul2021,
ADRA,ADVENTIST DEVELOPMENT AND RELIEF AGENCY,,HT03,HT0341,30jul2021,
CECI,CENTRE D'ETUDE ET DE COOPERATION INTERNATIONALE,,HT03,HT0352,30jul2021,
BM,BANQUE MONDIALE,,HT03,HT0351,30jul2021,
COMPASSION,COMPASSION INTERNATIONAL,,HT05,HT0521,30jul2021,
COMPASSION,COMPASSION INTERNATIONAL,,HT05,HT0532,30jul2021,
MI,CORPS DE SECOURS DE MALTE/ MALTESER INTERNATIONAL,,HT10,HT1022,30jul2021,
CRS,CATHOLIC RELIEF SERVICES USCCB,,HT08,HT0811,30jul2021,
MFH,MEDICINES FOR HUMANITY,,HT01,HT0123,30jul2021,
MDM C,MÉDECINS DU MONDE CANADA,,HT09,HT0913,30jul2021,
PROFAMIL,ASSOCIATION POUR LA PROMOTION DE LA FAMILLE HAÏTIENNE,,HT01,HT0112,30jul2021,
CDS,CENTRES POUR LE DEVELOPPEMENT ET LA SANTE,,HT01,HT0112,30jul2021,
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D'HAÏTI,,HT05,HT0541,30jul2021,
IBESR,INSTITUT DU BIEN-ÊTRE SOCIAL ET DE RECHERCHE,,HT06,HT0611,30jul2021,
BM,BANQUE MONDIALE,,HT07,HT0721,30jul2021,
BM,BANQUE MONDIALE,,HT01,HT0141,30jul2021,
COMPASSION,COMPASSION INTERNATIONAL,,HT09,HT0911,30jul2021,
APADEH,ACTION PASTORALE POUR LE DEVELOPPEMENT HUMAIN,,HT01,HT0112,30jul2021,
FNUAP,FONDS DE LA POPULATION DES NATIONS UNIES,,HT01,HT0121,30jul2021,
ALIANZA,ALIANZA POR LA SOLIDARIDAD,,HT02,HT0231,30jul2021,
HFHH,HABITAT POUR L'HUMANITE HAITI,,HT07,HT0711,30jul2021,
OCHA,BUREAU DE LA COORDINATION DES AFFAIRES HUMANITAIRES,,HT01,HT0114,30jul2021,
AVSI,ASSOCIATION DES VOLONTAIRES POUR LE SERVICE INTERNATIONAL,,HT03,HT0332,30jul2021,
HFHH,HABITAT POUR L'HUMANITE HAITI,,HT01,HT0114,30jul2021,
AVSI,ASSOCIATION DES VOLONTAIRES POUR LE SERVICE INTERNATIONAL,,HT05,HT0531,30jul2021,
BM,BANQUE MONDIALE,,HT02,HT0211,30jul2021,
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D'HAÏTI,,HT02,HT0234,30jul2021,
MFH,MEDICINES FOR HUMANITY,,HT07,HT0733,30jul2021,
CESPHA,CENTRE DE SUPPORT AUX PERSONNES HANDICAPÉES,,HT01,HT0131,30jul2021,
AVSI,ASSOCIATION DES VOLONTAIRES POUR LE SERVICE INTERNATIONAL,,HT09,HT0931,30jul2021,
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D'HAÏTI,,HT07,HT0753,30jul2021,
DEFENSEURS PLUS,DEFENSEURS PLUS,,HT01,HT0112,30jul2021,
COMPASSION,COMPASSION INTERNATIONAL,,HT07,HT0721,30jul2021,
FNUAP,FONDS DE LA POPULATION DES NATIONS UNIES,,HT07,HT0721,30jul2021,
JCI HAITI,JEUNE CHAMBRE INTERNATIONAL HAITI,,HT08,HT0811,30jul2021,
ADRA,ADVENTIST DEVELOPMENT AND RELIEF AGENCY,,HT03,HT0343,30jul2021,
FNUAP,FONDS DE LA POPULATION DES NATIONS UNIES,,HT01,HT0152,30jul2021,
COMPASSION,COMPASSION INTERNATIONAL,,HT03,HT0313,30jul2021,
NWHCM,NORTHWEST HAITI CHRISTIAN MISSION,,HT09,HT0921,30jul2021,
ADRA,ADVENTIST DEVELOPMENT AND RELIEF AGENCY,,HT01,HT0116,30jul2021,
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D'HAÏTI,,HT07,HT0731,30jul2021,
OIH,ORPHANS INTERNATIONAL HELPLINE,,HT09,HT0934,30jul2021,
CONCERN,CONCERN WORLDWIDE,,HT01,HT0111,30jul2021,
HELVETAS,HELVETAS SWISS INTERCOOPERATION,,HT10,HT1021,30jul2021,
CAPAC,CENTRE D’ANIMATION PAYSANNE ET D’ACTION COMMUNAUTAIRE,,HT02,HT0234,30jul2021,
KOCLAT,KONBIT POU CHANJE LAVI TIMOUN YO,,HT01,HT0117,30jul2021,
OCNH,ORGANISATION DES CITOYENS POUR UNE NOUVELLE HAÏTI,,HT01,HT0112,30jul2021,
BM,BANQUE MONDIALE,,HT04,HT0413,30jul2021,
FNUAP,FONDS DE LA POPULATION DES NATIONS UNIES,,HT07,HT0731,30jul2021,
COMPASSION,COMPASSION INTERNATIONAL,,HT03,HT0341,30jul2021,
ALIANZA,ALIANZA POR LA SOLIDARIDAD,,HT01,HT0114,30jul2021,
BM,BANQUE MONDIALE,,HT03,HT0372,30jul2021,
KORAL,COMBITE POUR LE RENFORCEMENT DES ACTIVITÉS LOCALES ACTIVITES,,HT07,HT0741,30jul2021,
J/P HRO,J/P HAITIAN RELIEF ORGANIZATION,,HT01,HT0114,30jul2021,
GRET,PROFESSIONNELS DU DÉVÉLOPPEMENT SOLIDAIRE,,HT01,HT0111,30jul2021,
BM,BANQUE MONDIALE,,HT06,HT0641,30jul2021,
COMPASSION,COMPASSION INTERNATIONAL,,HT03,HT0323,30jul2021,
CAID,CHRISTIAN-AID,,HT05,HT0511,30jul2021,
TDH-IT,FONDAZIONE TERRE DES HOMMES ITALIA,,HT07,HT0711,30jul2021,
COMPASSION,COMPASSION INTERNATIONAL,,HT03,HT0312,30jul2021,
FONKOZE,FONDASYON KOLE ZEPOL,,HT01,HT0133,30jul2021,
COMPASSION,COMPASSION INTERNATIONAL,,HT01,HT0132,30jul2021,
COOPI,COOPERAZIONE INTERNATIONALE,,HT01,HT0114,30jul2021,
FNUAP,FONDS DE LA POPULATION DES NATIONS UNIES,,HT01,HT0115,30jul2021,
MFH,MEDICINES FOR HUMANITY,,HT09,HT0912,30jul2021,
ADRA,ADVENTIST DEVELOPMENT AND RELIEF AGENCY,,HT07,HT0751,30jul2021,
HELVETAS,HELVETAS SWISS INTERCOOPERATION,,HT02,HT0221,30jul2021,
CAID,CHRISTIAN-AID,,HT04,HT0422,30jul2021,
SI,SOLIDARITÉS INTERNATIONAL,,HT01,HT0115,30jul2021,
BM,BANQUE MONDIALE,,HT03,HT0362,30jul2021,
IMED,INSTITUT MOBILE D'EDUCATION DÉMOCRATIQUE,,HT01,HT0112,30jul2021,
PHAREV,PLATEFORME HAITIENNE POUR LE RENFORCEMENT DE LA VACCINATION,,HT06,HT0611,30jul2021,
MDM SUISSE,MÉDECINS DU MONDE SUISSE,,HT01,HT0112,30jul2021,
BM,BANQUE MONDIALE,,HT06,HT0631,30jul2021,
ADRA,ADVENTIST DEVELOPMENT AND RELIEF AGENCY,,HT01,HT0123,30jul2021,
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D'HAÏTI,,HT09,HT0921,30jul2021,
CECI,CENTRE D'ETUDE ET DE COOPERATION INTERNATIONALE,,HT08,HT0822,30jul2021,
FNUAP,FONDS DE LA POPULATION DES NATIONS UNIES,,HT09,HT0934,30jul2021,
FONKOZE,FONDASYON KOLE ZEPOL,,HT02,HT0231,30jul2021,
OFACHASO,ORGANISATION DES FEMMES EN ACTION POUR LE CHANGEMENT SOCIAL,,HT07,HT0711,30jul2021,
410BRHA,410 BRIDGE HAITI,,HT02,HT0213,30jul2021,
ADRA,ADVENTIST DEVELOPMENT AND RELIEF AGENCY,,HT03,HT0322,30jul2021,
CODDEMIR,COLLECTIF DES ORGANISATIONS POUR LA DEFENSE DES DROITS DES MIGRANTS ET RAPATRIES,,HT01,HT0133,30jul2021,
ADRA,ADVENTIST DEVELOPMENT AND RELIEF AGENCY,,HT05,HT0543,30jul2021,
WHH,WELTHUNGERHILFE,,HT01,HT0111,30jul2021,
IDETTE,INITIATIVE DEPARTEMENTALE CONTRE LA TRAITE ET LE TRAFIC DES ENFANTS,,HT08,HT0831,30jul2021,
BM,BANQUE MONDIALE,,HT07,HT0715,30jul2021,
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D'HAÏTI,,HT05,HT0532,30jul2021,
ADRA,ADVENTIST DEVELOPMENT AND RELIEF AGENCY,,HT07,HT0716,30jul2021,
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D'HAÏTI,,HT08,HT0812,30jul2021,
BM,BANQUE MONDIALE,,HT04,HT0431,30jul2021,
MDM SUISSE,MÉDECINS DU MONDE SUISSE,,HT01,HT0123,30jul2021,
ACF,ACTION CONTRE LA FAIM,,HT05,HT0522,30jul2021,
MDM E,MÉDICOS DEL MUNDO ESPAGNE,,HT01,HT0112,30jul2021,
COMPASSION,COMPASSION INTERNATIONAL,,HT01,HT0112,30jul2021,
BM,BANQUE MONDIALE,,HT07,HT0714,30jul2021,
CAID,CHRISTIAN-AID,,HT06,HT0631,30jul2021,
FNUAP,FONDS DE LA POPULATION DES NATIONS UNIES,,HT01,HT0123,30jul2021,
ADRA,ADVENTIST DEVELOPMENT AND RELIEF AGENCY,,HT01,HT0131,30jul2021,
BM,BANQUE MONDIALE,,HT07,HT0743,30jul2021,
FNUAP,FONDS DE LA POPULATION DES NATIONS UNIES,,HT07,HT0741,30jul2021,
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D'HAÏTI,,HT03,HT0321,30jul2021,
APADEH,ACTION PASTORALE POUR LE DEVELOPPEMENT HUMAIN,,HT01,HT0118,30jul2021,
BM,BANQUE MONDIALE,,HT03,HT0331,30jul2021,
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D'HAÏTI,,HT06,HT0614,30jul2021,
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D'HAÏTI,,HT05,HT0544,30jul2021,
